Q_TotalDuration,Q1.1,Q1.1_TEXT,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,Q7.1_8,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.2_7,Q7.2_8,Q14.1,Q14.2,Q14.3,Q14.4_1,Q14.4_2,Q14.4_3,Q14.4_4,Q14.4_5,Q14.4_6,Q14.4_7,Q14.5_1,Q14.5_2,Q14.5_3,Q14.5_4,Q14.5_5,Q14.5_6,Q14.5_7,Q14.5_8,Q14.5_9,Q14.5_10,Q15.1,Cluster_3
538,1, ,3,1,7,5,4,1,2,2,2,2,2,2,2,45,42,47,47,41,45,41,42,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
737,1, ,3,3,3,5,4,2,2,2,2,2,2,2,2,6,16,20,23,20,13,15,20,1,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,3
630,2, ,3,1,6,5,6,1,2,2,2,2,2,1,2,45,33,43,46,37,42,50,37,1,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
944,1, ,4,3,6,5,3,2,2,1,1,2,2,2,2,10,50,-50,50,50,50,-50,-30,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2
2155,1, ,3,3,5,5,5,2,2,2,1,2,1,2,2,34,36,50,25,39,41,-25,0,1,4,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1
2990,2, ,6,3,5,5,5,2,2,1,1,2,1,2,2,3,24,-18,28,24,23,-21,-21,2,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2
931,2, ,5,1,6,5,5,2,2,2,2,2,2,2,2,24,32,29,36,29,32,23,23,1,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1834,1, ,3,3,6,5,3,1,1,1,2,2,1,1,2,35,37,35,35,33,35,35,37,1,3,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
3150,2, ,3,1,6,5,6,1,2,2,2,1,1,1,2,48,47,46,48,48,50,48,49,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
628,1, ,3,3,7,5,7,1,1,2,2,2,1,2,2,47,37,37,39,47,47,44,50,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1
869,2, ,5,2,3,4,1,2,1,1,1,1,1,1,2,15,43,40,50,14,33,-18,-10,3,1,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2
1395,1, ,3,2,3,5,3,1,2,1,2,1,1,1,2,12,25,31,29,20,25,17,35,3,4,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1310,1, ,3,2,6,5,5,2,2,2,2,1,2,2,2,28,30,26,25,25,26,22,24,1,4,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1771,1, ,5,3,6,5,5,2,2,1,1,2,1,1,2,18,7,4,27,5,22,0,29,2,4,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3
2084,2, ,6,2,5,4,4,2,2,2,2,2,2,2,2,-50,50,-50,20,50,50,-50,-50,2,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2
1161,1, ,3,3,7,5,5,1,2,2,2,2,1,2,2,13,14,20,15,22,20,14,13,1,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3
507,1, ,3,3,5,5,4,1,2,1,2,1,2,1,2,45,33,42,42,37,26,39,38,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
679,1, ,3,1,7,5,7,2,2,2,2,2,2,2,2,24,39,36,28,47,39,34,28,1,5,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
534,1, ,3,1,7,5,7,2,2,2,2,2,2,2,2,25,30,36,37,34,27,47,42,1,4,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1
4435,2, ,3,3,3,5,3,1,1,1,1,1,1,1,2,14,1,14,29,16,44,25,39,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,3
911,2, ,6,3,6,5,3,2,2,1,1,1,1,1,2,3,50,11,50,50,28,-7,-14,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2
1014,2, ,3,1,5,5,2,2,2,1,1,2,1,2,2,1,50,-50,50,50,50,-50,-50,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
1484,1, ,3,3,6,5,4,1,1,1,1,1,1,1,2,25,-30,10,18,12,17,14,15,1,4,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,3
658,2, ,2,1,4,5,2,1,1,1,1,1,1,1,2,50,50,31,50,50,50,10,20,3,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
1117,2, ,2,2,5,4,1,1,1,1,1,1,1,2,2,50,22,41,49,-9,6,15,36,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3
667,1, ,3,1,7,5,7,2,2,2,2,2,2,2,2,44,39,39,43,37,48,45,47,1,5,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1
1136,2, ,2,2,4,4,3,2,1,1,1,1,1,2,2,15,-9,25,13,7,10,9,-5,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3
1600,2, ,2,2,5,4,1,2,2,1,1,2,1,1,2,-10,22,-17,26,23,19,-17,-11,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3
1937,1, ,3,1,5,4,2,2,2,1,1,1,2,1,2,21,-11,-18,46,15,16,17,19,2,4,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3
17098,2, ,3,2,7,5,4,1,1,1,1,2,1,1,2,13,9,16,10,13,16,17,9,2,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3
340,1, ,3,1,3,5,5,2,2,2,2,2,2,2,2,35,36,39,36,20,40,41,41,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
573,1, ,3,1,3,5,3,2,1,1,1,1,1,1,2,10,9,-11,13,9,12,8,13,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
2931,1, ,5,3,5,5,5,2,2,1,1,1,1,1,2,1,50,25,50,50,50,-22,-22,2,4,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,2
997,2, ,2,1,3,4,2,2,1,1,1,1,1,1,2,-21,12,5,19,12,13,-9,9,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3
1919,2, ,2,1,3,4,2,2,1,1,1,2,1,1,2,33,-14,29,28,17,14,13,27,2,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,3
994,2, ,6,1,3,5,5,1,2,1,1,1,1,1,2,-49,20,16,19,15,49,-10,1,2,5,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2
552,1, ,3, ,5,5,4,2,2,1,1,2,1,1,2,9,22,22,13,20,24,11,16,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3
890,2, ,2,3,5,5,3,2,2,2,2,2,1,1,2,17,35,-22,34,45,39,-22,33,2,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2
1256,1, ,2,3,5,5,4,2,1,1,1,1,1,2,2,50,25,50,18,50,49,20,25,2,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1
687,2, ,4,1,4,5,3,2,2,1,1,1,1,1,2,19,-14,50,50,17,24,9,29,2,4,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1
502,1, ,3,1,6,5,3,2,2,1,1,2,2,1,2,37,37,32,35,27,30,33,39,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1320,1, ,3,3,7,5,4,2,2,1,1,2,1,1,2,40,33,44,48,46,47,35,43,1,3,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
33216,2, ,3,1,4,5,1,2,2,2,2,2,2,2,2,48,24,39,43,47,41,40,44,2,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
1089,2, ,3,1,5,5,3,2,2,2,2,1,2,2,2,44,44,49,46,48,50,47,50,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1
650,2, ,6,1,5,5,3,2,1,1,1,1,1,1,2,19,-4,18,18,23,34,14,12,2,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,3
689,1, ,3,3,6,5,5,1,2,2,1,1,1,2,2,24,22,16,8,22,20,18,15,1,4,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3
685,2, ,4,2,6,5,5,2,1,1,1,1,2,1,2,40,29,9,25,26,32,45,11,2,4,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
693,1, ,3,2,6,4,6,1,1,2,2,1,1,2,2,12,12,-8,32,33,6,24,43,1,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,3
598,2, ,3,2,3,4,2,2,2,2,1,2,2,1,2,9,19,17,-14,8,13,-8,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
561,1, ,3,1,7,5,7,2,2,2,2,2,2,2,2,28,47,46,40,40,40,41,48,1,5,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
579,2, ,2,2,3,4,1,2,2,2,1,1,2,1,2,50,50,-50,50,50,50,-50,-7,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2
733,2, ,2,1,7,5,7,1,1,1,1,1,1,1,2,17,12,34,28,23,19,26,14,2,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
1783,1, ,3,2,3,5,3,1,1,1,1,1,1,1,2,26,24,17,49,49,44,30,31,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1
1332,2, ,2,1,5,5,2,2,2,2,2,1,1,2,2,-30,-7,14,44,-16,-8,23,9,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3
624,1, ,4,3,5,5,4,2,2,1,2,1,1,1,2,22,41,-5,8,25,46,45,24,1,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2
790,2, ,2,1,2,4,1,2,1,2,1,1,1,1,2,28,-12,-6,-5,-1,-1,-6,-14,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
846,2, ,3,1,3,4,3,2,1,1,1,1,1,2,2,21,22,8,50,50,20,22,13,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1
1234,2, ,2,1,2,5,1,1,1,1,1,1,1,1,2,-4,15,-9,23,13,7,-15,-10,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,3
832,2, ,2,1,3,4,2,1,2,1,1,1,1,1,2,42,22,21,22,20,11,37,7,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3
2442,2, ,2,1,5,5,4,1,1,1,1,1,1,1,2,13,-12,11,-7,17,-17,-27,-18,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3
